Site,Latitude,Longitude,Date,Day Number,Year,Cavebat Species Passes,Myotis Species Passes,Eptesicus fuscus Passes,Lasiurus borealis Passes,Lasiurus cinereus Passes,Lasionycteris noctivagans Passes,Myotis leibii Passes,Myotis lucifugus Passes,Myotis septentrionalis Passes,Myotis sodalis Passes,Perimyotis subflavus Passes,No Species Identified,Distance to Hibernacula (km),Hibernacula Entrance (1) or Landscape (0),Maximum Daily Temperature (Celsius),Mean Daily Temperature (Celsius),Minimum Daily Temperature (Celsius),Change in Maximum Daily Temperature from Previous Day (Celsius),Change in Mean Daily Temperature from Previous Day (Celsius),Change in Minimum Daily Temperature from Previous Day (Celsius),Maximum Daily Wind Speed (KPH),Mean Daily Wind Speed (KPH),Change in Maximum Daily Wind Speed from Previous Day (KPH),Change in Mean Daily Wind Speed from Previous Day (KPH),Daily Precipitation (cm),Change in Daily Precipitation from Previous Day (cm),Binary Precipitation,Change in Binary Precipitation from Previous Day
Fernow Experimental Forest 0,39.045433,-79.666735,4/3/2017,93,2017,1,1,0,0,0,0,0,1,0,0,0,6,0,1,23.89,12.78,1.67,-4.95,-2.75,-0.55,33.796224,11.265408,-19.312128,-9.656064,0.2032,-0.2032,1,0
Fernow Experimental Forest 0,39.045433,-79.666735,4/4/2017,94,2017,18,18,0,0,0,0,1,8,7,2,0,23,0,1,19.44,13.89,8.33,4.4,-1.1,-6.6,40.2336,14.484096,-6.437376,-3.218688,0.7874,-0.5842,1,1
Fernow Experimental Forest 0,39.045433,-79.666735,4/5/2017,95,2017,6,6,0,1,0,1,0,1,2,3,0,1,0,1,24.44,14.44,4.44,-4.95,-0.55,3.85,35.405568,9.656064,4.828032,4.828032,0,0.7874,0,1
Fernow Experimental Forest 0,39.045433,-79.666735,4/6/2017,96,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17.78,9.44,1.11,6.6,4.95,3.3,41.842944,17.702784,-6.437376,-8.04672,2.794,-2.794,1,0
Fernow Experimental Forest 0,39.045433,-79.666735,4/7/2017,97,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.78,1.11,-0.56,14.85,8.25,1.65,41.842944,19.312128,0,-1.609344,0.635,2.159,1,1
Fernow Experimental Forest 0,39.045433,-79.666735,4/8/2017,98,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.89,5,-4.44,-11,-3.85,3.85,24.14016,4.828032,17.702784,14.484096,0,0.635,0,1
Fernow Experimental Forest 0,39.045433,-79.666735,4/9/2017,99,2017,7,7,0,1,0,0,1,4,0,2,0,7,0,1,23.89,10.56,-2.78,-9.9,-5.5,-1.65,16.09344,4.828032,8.04672,0,0,0,0,0
Fernow Experimental Forest 0,39.045433,-79.666735,4/10/2017,100,2017,13,13,0,0,0,0,0,2,3,8,0,14,0,1,26.67,14.44,2.22,-2.75,-3.85,-4.95,27.358848,6.437376,-11.265408,-1.609344,0,0,0,0
Fernow Experimental Forest 0,39.045433,-79.666735,4/11/2017,101,2017,40,39,0,0,3,2,0,18,2,19,1,17,0,1,26.11,15.56,4.44,0.55,-1.1,-2.2,33.796224,6.437376,-6.437376,0,0,0,0,0
Fernow Experimental Forest 0,39.045433,-79.666735,4/12/2017,102,2017,3,3,0,0,0,0,0,2,0,1,0,3,0,1,20.56,12.78,5,5.5,2.75,-0.55,24.14016,8.04672,9.656064,-1.609344,0.1524,-0.1524,1,0
Fernow Experimental Forest 0,39.045433,-79.666735,4/13/2017,103,2017,38,38,0,0,0,0,3,17,0,18,0,12,0,1,22.22,11.67,0.56,-1.65,1.1,4.4,24.14016,4.828032,0,3.218688,0,0.1524,0,1
Fernow Experimental Forest 0,39.045433,-79.666735,4/14/2017,104,2017,0,0,0,0,8,7,0,0,0,0,0,3,0,1,21.67,14.44,6.67,0.55,-2.75,-6.05,14.484096,1.609344,9.656064,3.218688,0,0,0,0
Fernow Experimental Forest 0,39.045433,-79.666735,4/15/2017,105,2017,8,7,0,1,1,0,0,4,1,2,1,3,0,1,26.67,16.11,5.56,-4.95,-1.65,1.1,45.061632,6.437376,-30.577536,-4.828032,0.635,-0.635,1,0
Fernow Experimental Forest 0,39.045433,-79.666735,4/16/2017,106,2017,84,83,0,1,10,0,1,73,2,7,1,15,0,1,24.44,16.67,8.89,2.2,-0.55,-3.3,35.405568,14.484096,9.656064,-8.04672,0.254,0.381,1,1
Fernow Experimental Forest 0,39.045433,-79.666735,4/17/2017,107,2017,15,14,0,0,2,0,0,11,1,2,1,1,0,1,20,14.44,8.89,4.4,2.2,0,22.530816,6.437376,12.874752,8.04672,0.9398,-0.6858,1,1
Fernow Experimental Forest 0,39.045433,-79.666735,4/18/2017,108,2017,58,57,0,3,13,6,2,24,6,25,1,42,0,1,23.33,13.89,3.89,-3.3,0.55,4.95,24.14016,8.04672,-1.609344,-1.609344,0,0.9398,0,1
Fernow Experimental Forest 0,39.045433,-79.666735,4/19/2017,109,2017,1,1,0,0,2,0,0,1,0,0,0,0,0,1,18.89,15,10.56,4.4,-1.1,-6.6,25.749504,9.656064,-1.609344,-1.609344,0.127,-0.127,1,0
Fernow Experimental Forest 0,39.045433,-79.666735,4/20/2017,110,2017,35,33,0,0,2,0,1,7,5,20,2,19,0,1,24.44,17.22,10,-5.5,-2.2,0.55,38.624256,4.828032,-12.874752,4.828032,1.651,-1.524,1,1
Fernow Experimental Forest 0,39.045433,-79.666735,4/21/2017,111,2017,10,10,0,1,13,0,0,4,0,6,0,5,0,1,22.78,18.33,13.89,1.65,-1.1,-3.85,24.14016,9.656064,14.484096,-4.828032,1.143,0.508,1,1
Fernow Experimental Forest 0,39.045433,-79.666735,4/22/2017,112,2017,2,2,0,0,3,3,0,1,0,1,0,1,0,1,15,10.56,5.56,7.7,7.7,8.25,25.749504,8.04672,-1.609344,1.609344,1.1938,-0.0508,1,1
Fernow Experimental Forest 0,39.045433,-79.666735,4/23/2017,113,2017,0,0,0,0,1,0,0,0,0,0,0,1,0,1,15.56,8.89,1.67,-0.55,1.65,3.85,20.921472,4.828032,4.828032,3.218688,0,1.1938,0,1
Fernow Experimental Forest 0,39.045433,-79.666735,4/24/2017,114,2017,0,0,0,0,1,0,0,0,0,0,0,0,0,1,13.89,11.11,8.33,1.65,-2.2,-6.6,24.14016,8.04672,-3.218688,-3.218688,0.6096,-0.6096,1,0
Fernow Experimental Forest 0,39.045433,-79.666735,4/25/2017,115,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17.22,12.78,7.78,-3.3,-1.65,0.55,22.530816,3.218688,1.609344,4.828032,0.0254,0.5842,1,1
Fernow Experimental Forest 0,39.045433,-79.666735,4/26/2017,116,2017,13,13,0,1,5,1,0,11,0,2,0,5,0,1,27.22,16.67,6.11,-9.9,-3.85,1.65,16.09344,1.609344,6.437376,1.609344,0,0.0254,0,1
Fernow Experimental Forest 0,39.045433,-79.666735,4/27/2017,117,2017,0,0,0,0,2,2,0,0,0,0,0,2,0,1,26.67,18.33,9.44,0.55,-1.65,-3.3,28.968192,6.437376,-12.874752,-4.828032,0.5842,-0.5842,1,0
Fernow Experimental Forest 0,39.045433,-79.666735,3/11/2016,71,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16.67,10,2.78,8.8,4.4,0.55,25.749504,4.828032,0,0,0.4064,-17.78,1,0
Fernow Experimental Forest 0,39.045433,-79.666735,3/12/2016,72,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19.44,11.11,2.78,-2.75,-1.1,0,22.530816,4.828032,3.218688,0,0,-22.86,1,1
Fernow Experimental Forest 0,39.045433,-79.666735,3/13/2016,73,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19.44,15,10,0,-3.85,-7.15,24.14016,4.828032,-1.609344,0,1.27,7.62,1,1
Fernow Experimental Forest 0,39.045433,-79.666735,3/14/2016,74,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23.89,17.22,10,-4.4,-2.2,0,27.358848,4.828032,-3.218688,0,0.2286,30.48,1,1
Fernow Experimental Forest 0,39.045433,-79.666735,3/16/2016,76,2016,1,1,0,0,0,0,0,0,1,0,0,0,0,1,23.33,13.89,4.44,-5.5,-2.2,0.55,40.2336,12.874752,-14.484096,-8.04672,0,17.78,0,1
Fernow Experimental Forest 0,39.045433,-79.666735,3/18/2016,78,2016,2,2,0,0,0,0,0,0,0,2,0,1,0,1,14.44,6.67,-1.67,0.55,1.1,2.2,35.405568,9.656064,3.218688,1.609344,0,0,0,0
Fernow Experimental Forest 0,39.045433,-79.666735,3/20/2016,80,2016,10,10,0,0,0,0,0,0,0,10,0,0,0,1,3.33,1.67,0,0.55,0.55,0,20.921472,4.828032,-9.656064,-3.218688,0.3048,25.4,1,1
Fernow Experimental Forest 0,39.045433,-79.666735,3/21/2016,81,2016,3,3,0,0,0,0,1,0,0,2,0,0,0,1,6.11,1.67,-3.33,-2.75,0,3.3,33.796224,14.484096,-12.874752,-9.656064,0,-27.94,1,1
Fernow Experimental Forest 0,39.045433,-79.666735,3/22/2016,82,2016,1,1,0,0,0,0,0,0,0,1,0,0,0,1,17.22,6.67,-3.89,-11,-4.95,0.55,28.968192,9.656064,4.828032,4.828032,0,45.72,0,1
Fernow Experimental Forest 0,39.045433,-79.666735,3/23/2016,83,2016,6,6,0,0,0,0,1,2,0,3,0,6,0,1,21.67,12.22,2.22,-4.4,-5.5,-6.05,32.18688,11.265408,-3.218688,-1.609344,0,0,0,0
Fernow Experimental Forest 0,39.045433,-79.666735,3/24/2016,84,2016,7,6,0,0,0,0,0,2,0,4,1,3,0,1,24.44,11.67,-1.11,-2.75,0.55,3.3,37.014912,12.874752,-4.828032,-1.609344,0,-43.18,1,0
Fernow Experimental Forest 0,39.045433,-79.666735,3/25/2016,85,2016,2,2,0,0,0,0,0,1,0,1,0,0,0,1,17.22,11.11,5,7.15,0.55,-6.05,32.18688,9.656064,4.828032,3.218688,0.5334,17.78,1,1
Fernow Experimental Forest 0,39.045433,-79.666735,3/26/2016,86,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,10.56,0.56,-2.75,0.55,4.4,19.312128,3.218688,12.874752,6.437376,0,30.48,0,1
Fernow Experimental Forest 0,39.045433,-79.666735,3/27/2016,87,2016,1,1,0,0,0,0,0,0,0,1,0,0,0,1,23.33,12.78,1.67,-3.3,-2.2,-1.1,27.358848,9.656064,-8.04672,-6.437376,0,0,0,0
Fernow Experimental Forest 0,39.045433,-79.666735,3/30/2016,90,2016,1,1,0,0,0,0,0,0,0,1,0,3,0,1,20,7.78,-5,-7.7,-2.75,2.75,25.749504,9.656064,3.218688,1.609344,0,45.72,0,1
Fernow Experimental Forest 0,39.045433,-79.666735,3/31/2016,91,2016,4,4,0,0,0,0,0,1,1,2,0,2,0,1,20.56,16.67,12.22,-0.55,-8.8,-17.05,35.405568,17.702784,-9.656064,-8.04672,0,-43.18,1,0
Fernow Experimental Forest 0,39.045433,-79.666735,4/1/2016,92,2016,4,4,0,0,0,0,0,1,2,1,0,4,0,1,22.78,17.22,11.67,-2.2,-0.55,0.55,41.842944,17.702784,-6.437376,0,0.1016,38.1,1,1
Fernow Experimental Forest 0,39.045433,-79.666735,4/2/2016,93,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.22,6.11,-0.56,10.45,11,12.1,53.108352,22.530816,-11.265408,-4.828032,0.4318,-12.7,1,1
Fernow Experimental Forest 0,39.045433,-79.666735,4/3/2016,94,2016,1,1,0,0,0,0,0,0,1,0,0,0,0,1,9.44,3.33,-3.33,2.75,2.75,2.75,51.499008,16.09344,1.609344,6.437376,0.0508,20.32,1,1
Fernow Experimental Forest 0,39.045433,-79.666735,4/4/2016,95,2016,1,1,0,0,0,0,0,0,1,0,0,2,0,1,17.78,8.33,-1.11,-8.25,-4.95,-2.2,40.2336,19.312128,11.265408,-3.218688,0.7366,-27.94,1,1
Fernow Experimental Forest 0,39.045433,-79.666735,4/6/2016,97,2016,3,3,0,0,0,0,1,0,0,2,0,1,0,1,16.11,4.44,-7.22,-12.1,-4.95,1.65,32.18688,14.484096,-6.437376,-4.828032,0,45.72,0,1
Fernow Experimental Forest 0,39.045433,-79.666735,4/7/2016,98,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.56,5.56,0,5.5,-1.1,-7.15,37.014912,17.702784,-4.828032,-3.218688,2.0828,-40.64,1,0
Fernow Experimental Forest 0,39.045433,-79.666735,4/8/2016,99,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2.22,-1.11,5.5,3.3,1.1,33.796224,14.484096,3.218688,3.218688,0.0762,38.1,1,1
Fernow Experimental Forest 0,39.045433,-79.666735,4/9/2016,100,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.67,-1.11,-4.44,3.3,3.3,3.3,37.014912,17.702784,-3.218688,-3.218688,0.508,-20.32,1,1
Fernow Experimental Forest 0,39.045433,-79.666735,4/10/2016,101,2016,1,1,0,0,0,0,0,0,0,1,0,2,0,1,12.78,1.11,-11.11,-11,-2.2,6.6,20.921472,6.437376,16.09344,11.265408,0.0508,25.4,1,1
Fernow Experimental Forest 0,39.045433,-79.666735,4/11/2016,102,2016,0,0,0,0,0,0,0,0,0,0,0,2,0,1,22.78,15,7.22,-9.9,-13.75,-18.15,45.061632,16.09344,-24.14016,-9.656064,0.0508,0,1,1
Fernow Experimental Forest 0,39.045433,-79.666735,4/13/2016,104,2016,0,0,0,0,0,0,0,0,0,0,0,1,0,1,17.22,6.67,-4.44,-3.85,-1.1,2.2,20.921472,3.218688,4.828032,8.04672,0,25.4,0,1
Fernow Experimental Forest 0,39.045433,-79.666735,4/14/2016,105,2016,0,0,0,0,0,0,0,0,0,0,0,2,0,1,21.11,9.44,-2.22,-3.85,-2.75,-2.2,19.312128,4.828032,1.609344,-1.609344,0,0,0,0
Fernow Experimental Forest 0,39.045433,-79.666735,4/15/2016,106,2016,1,0,0,0,0,0,0,0,0,0,1,0,0,1,21.11,10.56,-0.56,0,-1.1,-1.65,20.921472,6.437376,-1.609344,-1.609344,0,0,0,0
Fernow Experimental Forest 0,39.045433,-79.666735,4/17/2016,108,2016,5,5,0,0,0,0,2,2,0,1,0,13,0,1,25,13.33,1.11,-1.65,-1.65,-1.65,22.530816,4.828032,-6.437376,-1.609344,0,0,0,0
Fernow Experimental Forest 0,39.045433,-79.666735,3/9/2016,69,2016,0,0,0,0,0,0,0,0,0,0,0,1,0,1,25.56,11.67,-2.22,-3.3,-1.1,1.1,22.530816,3.218688,6.437376,3.218688,0,0,0,0
Fernow Experimental Forest 0,39.045433,-79.666735,3/10/2016,70,2016,2,2,0,0,0,0,1,0,0,1,0,0,0,1,25.56,14.44,3.33,0,-2.75,-5.5,25.749504,4.828032,-3.218688,-1.609344,0,0,0,0
Fernow Experimental Forest 0,39.045433,-79.666735,3/7/2016,67,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.89,6.67,-6.11,-11.55,-4.95,2.2,28.968192,6.437376,-9.656064,-1.609344,0,10.16,0,1
Fernow Experimental Forest 0,39.045433,-79.666735,3/8/2016,68,2016,0,0,0,0,0,0,0,0,0,0,0,2,0,1,22.22,10.56,-1.11,-3.3,-3.85,-4.95,28.968192,6.437376,0,0,0,0,0,0
Fernow Experimental Forest 1-1,39.041999,-79.676459,3/8/2016,68,2016,1,1,0,0,0,0,0,0,0,1,0,0,1,0,22.22,10.56,-1.11,-3.3,-3.85,-4.95,28.968192,6.437376,0,0,0,0,0,0
Fernow Experimental Forest 1-1,39.041999,-79.676459,3/9/2016,69,2016,4,4,0,0,0,0,0,0,1,3,0,1,1,0,25.56,11.67,-2.22,-3.3,-1.1,1.1,22.530816,3.218688,6.437376,3.218688,0,0,0,0
Fernow Experimental Forest 1-1,39.041999,-79.676459,3/10/2016,70,2016,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25.56,14.44,3.33,0,-2.75,-5.5,25.749504,4.828032,-3.218688,-1.609344,0,0,0,0
Fernow Experimental Forest 1-1,39.041999,-79.676459,3/12/2016,72,2016,1,1,0,0,0,0,1,0,0,0,0,0,1,0,19.44,11.11,2.78,-2.75,-1.1,0,22.530816,4.828032,3.218688,0,0,-22.86,1,1
Fernow Experimental Forest 1-1,39.041999,-79.676459,3/13/2016,73,2016,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19.44,15,10,0,-3.85,-7.15,24.14016,4.828032,-1.609344,0,1.27,7.62,1,1
Fernow Experimental Forest 1-1,39.041999,-79.676459,3/14/2016,74,2016,2,2,0,0,0,0,0,0,0,2,0,0,1,0,23.89,17.22,10,-4.4,-2.2,0,27.358848,4.828032,-3.218688,0,0.2286,30.48,1,1
Fernow Experimental Forest 1-1,39.041999,-79.676459,4/3/2017,93,2017,4,4,0,0,0,0,1,2,0,1,0,4,1,0,23.89,12.78,1.67,-4.95,-2.75,-0.55,33.796224,11.265408,-19.312128,-9.656064,0.2032,-0.2032,1,0
Fernow Experimental Forest 1-1,39.041999,-79.676459,4/4/2017,94,2017,1,1,0,0,0,1,0,1,0,0,0,1,1,0,19.44,13.89,8.33,4.4,-1.1,-6.6,40.2336,14.484096,-6.437376,-3.218688,0.7874,-0.5842,1,1
Fernow Experimental Forest 1-1,39.041999,-79.676459,4/5/2017,95,2017,2,2,0,0,0,0,0,0,0,2,0,0,1,0,24.44,14.44,4.44,-4.95,-0.55,3.85,35.405568,9.656064,4.828032,4.828032,0,0.7874,0,1
Fernow Experimental Forest 1-1,39.041999,-79.676459,4/6/2017,96,2017,0,0,0,0,0,0,0,0,0,0,0,1,1,0,17.78,9.44,1.11,6.6,4.95,3.3,41.842944,17.702784,-6.437376,-8.04672,2.794,-2.794,1,0
Fernow Experimental Forest 1-1,39.041999,-79.676459,4/8/2017,98,2017,1,1,0,0,0,0,0,0,0,1,0,0,1,0,13.89,5,-4.44,-11,-3.85,3.85,24.14016,4.828032,17.702784,14.484096,0,0.635,0,1
Fernow Experimental Forest 1-1,39.041999,-79.676459,4/9/2017,99,2017,19,18,0,0,0,0,0,10,0,8,1,11,1,0,23.89,10.56,-2.78,-9.9,-5.5,-1.65,16.09344,4.828032,8.04672,0,0,0,0,0
Fernow Experimental Forest 1-1,39.041999,-79.676459,4/10/2017,100,2017,6,5,1,0,0,0,0,3,0,2,0,2,1,0,26.67,14.44,2.22,-2.75,-3.85,-4.95,27.358848,6.437376,-11.265408,-1.609344,0,0,0,0
Fernow Experimental Forest 1-1,39.041999,-79.676459,4/11/2017,101,2017,1,1,0,0,3,0,0,1,0,0,0,1,1,0,26.11,15.56,4.44,0.55,-1.1,-2.2,33.796224,6.437376,-6.437376,0,0,0,0,0
Fernow Experimental Forest 1-1,39.041999,-79.676459,4/12/2017,102,2017,1,1,0,0,0,0,0,0,0,1,0,0,1,0,20.56,12.78,5,5.5,2.75,-0.55,24.14016,8.04672,9.656064,-1.609344,0.1524,-0.1524,1,0
Fernow Experimental Forest 1-1,39.041999,-79.676459,4/13/2017,103,2017,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22.22,11.67,0.56,-1.65,1.1,4.4,24.14016,4.828032,0,3.218688,0,0.1524,0,1
Fernow Experimental Forest 1-1,39.041999,-79.676459,4/14/2017,104,2017,2,1,0,0,0,0,0,0,0,1,1,2,1,0,21.67,14.44,6.67,0.55,-2.75,-6.05,14.484096,1.609344,9.656064,3.218688,0,0,0,0
Fernow Experimental Forest 1-1,39.041999,-79.676459,4/15/2017,105,2017,1,1,0,0,0,3,0,0,0,1,0,0,1,0,26.67,16.11,5.56,-4.95,-1.65,1.1,45.061632,6.437376,-30.577536,-4.828032,0.635,-0.635,1,0
Fernow Experimental Forest 1-1,39.041999,-79.676459,4/16/2017,106,2017,3,2,0,0,0,1,0,1,1,0,1,2,1,0,24.44,16.67,8.89,2.2,-0.55,-3.3,35.405568,14.484096,9.656064,-8.04672,0.254,0.381,1,1
Fernow Experimental Forest 1-1,39.041999,-79.676459,4/17/2017,107,2017,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,14.44,8.89,4.4,2.2,0,22.530816,6.437376,12.874752,8.04672,0.9398,-0.6858,1,1
Fernow Experimental Forest 1-1,39.041999,-79.676459,4/18/2017,108,2017,1,1,0,1,1,0,0,1,0,0,0,1,1,0,23.33,13.89,3.89,-3.3,0.55,4.95,24.14016,8.04672,-1.609344,-1.609344,0,0.9398,0,1
Fernow Experimental Forest 1-1,39.041999,-79.676459,4/19/2017,109,2017,1,1,0,1,1,0,0,1,0,0,0,1,1,0,18.89,15,10.56,4.4,-1.1,-6.6,25.749504,9.656064,-1.609344,-1.609344,0.127,-0.127,1,0
Fernow Experimental Forest 1-1,39.041999,-79.676459,4/20/2017,110,2017,4,4,0,7,0,0,0,3,0,1,0,4,1,0,24.44,17.22,10,-5.5,-2.2,0.55,38.624256,4.828032,-12.874752,4.828032,1.651,-1.524,1,1
Fernow Experimental Forest 1-1,39.041999,-79.676459,4/21/2017,111,2017,1,0,1,1,0,0,0,0,0,0,0,2,1,0,22.78,18.33,13.89,1.65,-1.1,-3.85,24.14016,9.656064,14.484096,-4.828032,1.143,0.508,1,1
Fernow Experimental Forest 1-1,39.041999,-79.676459,4/22/2017,112,2017,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,10.56,5.56,7.7,7.7,8.25,25.749504,8.04672,-1.609344,1.609344,1.1938,-0.0508,1,1
Fernow Experimental Forest 1-1,39.041999,-79.676459,4/23/2017,113,2017,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15.56,8.89,1.67,-0.55,1.65,3.85,20.921472,4.828032,4.828032,3.218688,0,1.1938,0,1
Fernow Experimental Forest 1-1,39.041999,-79.676459,4/24/2017,114,2017,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13.89,11.11,8.33,1.65,-2.2,-6.6,24.14016,8.04672,-3.218688,-3.218688,0.6096,-0.6096,1,0
Fernow Experimental Forest 1-1,39.041999,-79.676459,4/25/2017,115,2017,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17.22,12.78,7.78,-3.3,-1.65,0.55,22.530816,3.218688,1.609344,4.828032,0.0254,0.5842,1,1
Fernow Experimental Forest 1-1,39.041999,-79.676459,4/26/2017,116,2017,30,21,9,0,4,0,0,7,2,12,0,9,1,0,27.22,16.67,6.11,-9.9,-3.85,1.65,16.09344,1.609344,6.437376,1.609344,0,0.0254,0,1
Fernow Experimental Forest 1-1,39.041999,-79.676459,4/27/2017,117,2017,24,8,16,9,5,10,0,8,0,0,0,8,1,0,26.67,18.33,9.44,0.55,-1.65,-3.3,28.968192,6.437376,-12.874752,-4.828032,0.5842,-0.5842,1,0
Fernow Experimental Forest 1-1,39.041999,-79.676459,3/16/2016,76,2016,1,1,0,0,0,0,0,1,0,0,0,0,1,0,23.33,13.89,4.44,-5.5,-2.2,0.55,40.2336,12.874752,-14.484096,-8.04672,0,17.78,0,1
Fernow Experimental Forest 1-1,39.041999,-79.676459,3/18/2016,78,2016,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14.44,6.67,-1.67,0.55,1.1,2.2,35.405568,9.656064,3.218688,1.609344,0,0,0,0
Fernow Experimental Forest 1-1,39.041999,-79.676459,3/20/2016,80,2016,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.33,1.67,0,0.55,0.55,0,20.921472,4.828032,-9.656064,-3.218688,0.3048,25.4,1,1
Fernow Experimental Forest 1-1,39.041999,-79.676459,3/21/2016,81,2016,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.11,1.67,-3.33,-2.75,0,3.3,33.796224,14.484096,-12.874752,-9.656064,0,-27.94,1,1
Fernow Experimental Forest 1-1,39.041999,-79.676459,3/22/2016,82,2016,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17.22,6.67,-3.89,-11,-4.95,0.55,28.968192,9.656064,4.828032,4.828032,0,45.72,0,1
Fernow Experimental Forest 1-1,39.041999,-79.676459,3/24/2016,84,2016,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24.44,11.67,-1.11,-2.75,0.55,3.3,37.014912,12.874752,-4.828032,-1.609344,0,-43.18,1,0
Fernow Experimental Forest 1-1,39.041999,-79.676459,3/26/2016,86,2016,0,0,0,0,0,0,0,0,0,0,0,1,1,0,20,10.56,0.56,-2.75,0.55,4.4,19.312128,3.218688,12.874752,6.437376,0,30.48,0,1
Fernow Experimental Forest 1-1,39.041999,-79.676459,3/27/2016,87,2016,1,1,0,0,0,0,0,0,0,1,0,1,1,0,23.33,12.78,1.67,-3.3,-2.2,-1.1,27.358848,9.656064,-8.04672,-6.437376,0,0,0,0
Fernow Experimental Forest 1-1,39.041999,-79.676459,3/30/2016,90,2016,9,9,0,0,0,0,0,0,0,9,0,3,1,0,20,7.78,-5,-7.7,-2.75,2.75,25.749504,9.656064,3.218688,1.609344,0,45.72,0,1
Fernow Experimental Forest 1-1,39.041999,-79.676459,3/31/2016,91,2016,1,1,0,1,0,0,0,0,0,1,0,0,1,0,20.56,16.67,12.22,-0.55,-8.8,-17.05,35.405568,17.702784,-9.656064,-8.04672,0,-43.18,1,0
Fernow Experimental Forest 1-1,39.041999,-79.676459,4/1/2016,92,2016,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22.78,17.22,11.67,-2.2,-0.55,0.55,41.842944,17.702784,-6.437376,0,0.1016,38.1,1,1
Fernow Experimental Forest 1-1,39.041999,-79.676459,4/2/2016,93,2016,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12.22,6.11,-0.56,10.45,11,12.1,53.108352,22.530816,-11.265408,-4.828032,0.4318,-12.7,1,1
Fernow Experimental Forest 1-1,39.041999,-79.676459,3/15/2016,75,2016,3,3,0,0,0,0,0,0,0,3,0,0,1,0,17.78,11.67,5,6.05,5.5,4.95,25.749504,4.828032,1.609344,0,0.381,-2.54,1,1
Fernow Experimental Forest 1-1,39.041999,-79.676459,4/4/2016,95,2016,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17.78,8.33,-1.11,-8.25,-4.95,-2.2,40.2336,19.312128,11.265408,-3.218688,0.7366,-27.94,1,1
Fernow Experimental Forest 1-1,39.041999,-79.676459,4/6/2016,97,2016,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16.11,4.44,-7.22,-12.1,-4.95,1.65,32.18688,14.484096,-6.437376,-4.828032,0,45.72,0,1
Fernow Experimental Forest 1-1,39.041999,-79.676459,4/7/2016,98,2016,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10.56,5.56,0,5.5,-1.1,-7.15,37.014912,17.702784,-4.828032,-3.218688,2.0828,-40.64,1,0
Fernow Experimental Forest 1-1,39.041999,-79.676459,4/8/2016,99,2016,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2.22,-1.11,5.5,3.3,1.1,33.796224,14.484096,3.218688,3.218688,0.0762,38.1,1,1
Fernow Experimental Forest 1-1,39.041999,-79.676459,4/11/2016,102,2016,1,1,0,0,0,0,0,0,0,1,0,0,1,0,22.78,15,7.22,-9.9,-13.75,-18.15,45.061632,16.09344,-24.14016,-9.656064,0.0508,0,1,1
Fernow Experimental Forest 1-1,39.041999,-79.676459,4/13/2016,104,2016,15,15,0,1,0,0,2,1,0,12,0,14,1,0,17.22,6.67,-4.44,-3.85,-1.1,2.2,20.921472,3.218688,4.828032,8.04672,0,25.4,0,1
Fernow Experimental Forest 1-1,39.041999,-79.676459,4/14/2016,105,2016,1,0,0,0,0,0,0,0,0,0,1,6,1,0,21.11,9.44,-2.22,-3.85,-2.75,-2.2,19.312128,4.828032,1.609344,-1.609344,0,0,0,0
Fernow Experimental Forest 1-1,39.041999,-79.676459,4/15/2016,106,2016,0,0,0,0,0,0,0,0,0,0,0,1,1,0,21.11,10.56,-0.56,0,-1.1,-1.65,20.921472,6.437376,-1.609344,-1.609344,0,0,0,0
